"","X","Backdoor","Frontdoor","IV","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power","se","nonzero_functionals"
"1",12,FALSE,FALSE,TRUE,1,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,0.516,0.0316065815930796,"Identified functional in wrong model ≠ 0"
"2",12,FALSE,FALSE,TRUE,1,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,0.969,0.0077509999354922,"Identified functional in wrong model ≠ 0"
"3",12,FALSE,FALSE,TRUE,1,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,0.999,0.00115412304370028,"Identified functional in wrong model ≠ 0"
"4",12,FALSE,FALSE,TRUE,1,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,1,0,"Identified functional in wrong model ≠ 0"
"5",11,FALSE,TRUE,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"A",10,250,NA,0.938,0.0152520162601539,"Identified functional in wrong model ≠ 0"
"6",11,FALSE,TRUE,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"A",10,500,NA,1,0,"Identified functional in wrong model ≠ 0"
"7",11,FALSE,TRUE,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"A",10,750,NA,1,0,"Identified functional in wrong model ≠ 0"
"8",11,FALSE,TRUE,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"A",10,1000,NA,1,0,"Identified functional in wrong model ≠ 0"
"9",16,FALSE,TRUE,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,0.974,0.010064591397568,"Identified functional in wrong model ≠ 0"
"10",16,FALSE,TRUE,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,0.995,0.0031543620591175,"Identified functional in wrong model ≠ 0"
"11",16,FALSE,TRUE,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,1,0,"Identified functional in wrong model ≠ 0"
"12",16,FALSE,TRUE,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,1,0,"Identified functional in wrong model ≠ 0"
"13",13,TRUE,FALSE,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"A",10,250,NA,0.535,0.0315452056579126,"Identified functional in wrong model ≠ 0"
"14",13,TRUE,FALSE,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"A",10,500,NA,0.929,0.0114855561467436,"Identified functional in wrong model ≠ 0"
"15",13,TRUE,FALSE,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"A",10,750,NA,0.99,0.00363318042491699,"Identified functional in wrong model ≠ 0"
"16",13,TRUE,FALSE,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"A",10,1000,NA,1,0,"Identified functional in wrong model ≠ 0"
"17",14,TRUE,FALSE,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,0.511,0.0316151229635439,"Identified functional in wrong model ≠ 0"
"18",14,TRUE,FALSE,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,0.97,0.00762889244910426,"Identified functional in wrong model ≠ 0"
"19",14,TRUE,FALSE,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,1,0,"Identified functional in wrong model ≠ 0"
"20",14,TRUE,FALSE,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,1,0,"Identified functional in wrong model ≠ 0"
"21",15,TRUE,TRUE,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",10,250,NA,0.648,0.0302056948273004,"Identified functional in wrong model ≠ 0"
"22",15,TRUE,TRUE,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",10,500,NA,0.941,0.010537456998726,"Identified functional in wrong model ≠ 0"
"23",15,TRUE,TRUE,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",10,750,NA,0.99,0.00363318042491699,"Identified functional in wrong model ≠ 0"
"24",15,TRUE,TRUE,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",10,1000,NA,0.999,0.000999499874937461,"Identified functional in wrong model ≠ 0"
"25",17,TRUE,TRUE,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,0.968,0.0111312173637927,"Identified functional in wrong model ≠ 0"
"26",17,TRUE,TRUE,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,0.997,0.00244581274835176,"Identified functional in wrong model ≠ 0"
"27",17,TRUE,TRUE,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,1,0,"Identified functional in wrong model ≠ 0"
"28",17,TRUE,TRUE,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,1,0,"Identified functional in wrong model ≠ 0"
"29",15,FALSE,TRUE,FALSE,1,1,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",5,250,NA,0.044,0.0129713530520143,"Identified functional in wrong model = 0"
"30",15,FALSE,TRUE,FALSE,1,1,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",5,500,NA,0.048,0.00955991631762538,"Identified functional in wrong model = 0"
"31",15,FALSE,TRUE,FALSE,1,1,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",5,750,NA,0.047,0.00772795790188672,"Identified functional in wrong model = 0"
"32",15,FALSE,TRUE,FALSE,1,1,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",5,1000,NA,0.046,0.00662449998113065,"Identified functional in wrong model = 0"
"33",16,FALSE,TRUE,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",2,250,NA,0.00600000000000001,0.0048842604353167,"Identified functional in wrong model = 0"
"34",16,FALSE,TRUE,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",2,500,NA,0.027,0.00724858606902063,"Identified functional in wrong model = 0"
"35",16,FALSE,TRUE,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",2,750,NA,0.047,0.00772795790188672,"Identified functional in wrong model = 0"
"36",16,FALSE,TRUE,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",2,1000,NA,0.052,0.00702111102319284,"Identified functional in wrong model = 0"
"37",17,FALSE,FALSE,TRUE,1,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,0.00700000000000001,0.00527294983856286,"Identified functional in wrong model = 0"
"38",17,FALSE,FALSE,TRUE,1,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,0.012,0.00486949689393062,"Identified functional in wrong model = 0"
"39",17,FALSE,FALSE,TRUE,1,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,0.017,0.00472031072423557,"Identified functional in wrong model = 0"
"40",17,FALSE,FALSE,TRUE,1,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,0.024,0.00483983470792134,"Identified functional in wrong model = 0"
"41",18,TRUE,FALSE,FALSE,1,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",10,250,NA,0.00900000000000001,0.00597293897507752,"Identified functional in wrong model = 0"
"42",18,TRUE,FALSE,FALSE,1,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",10,500,NA,0.022,0.00655987804764692,"Identified functional in wrong model = 0"
"43",18,TRUE,FALSE,FALSE,1,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",10,750,NA,0.038,0.0069814993614075,"Identified functional in wrong model = 0"
"44",18,TRUE,FALSE,FALSE,1,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",10,1000,NA,0.034,0.00573096850453743,"Identified functional in wrong model = 0"
"45",19,TRUE,FALSE,TRUE,1,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,0.093,0.0183685600959901,"Identified functional in wrong model = 0"
"46",19,TRUE,FALSE,TRUE,1,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,0.076,0.0118510759005248,"Identified functional in wrong model = 0"
"47",19,TRUE,FALSE,TRUE,1,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,0.052,0.00810728067850127,"Identified functional in wrong model = 0"
"48",19,TRUE,FALSE,TRUE,1,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,0.074,0.00827792244467173,"Identified functional in wrong model = 0"
"49",20,TRUE,TRUE,FALSE,1,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",10,250,NA,0.033,0.0112979644184251,"Identified functional in wrong model = 0"
"50",20,TRUE,TRUE,FALSE,1,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",10,500,NA,0.038,0.00855055553750749,"Identified functional in wrong model = 0"
"51",20,TRUE,TRUE,FALSE,1,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",10,750,NA,0.048,0.0078056389872963,"Identified functional in wrong model = 0"
"52",20,TRUE,TRUE,FALSE,1,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",10,1000,NA,0.045,0.00655553201502365,"Identified functional in wrong model = 0"
