"","X","Backdoor","Frontdoor","IV","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power","se","true_model_number","nonzero_functional_number","nonzero_functionals"
"1",8,FALSE,TRUE,FALSE,1,0,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"N",0,250,0.042,NA,0.0126863706393909,1,2,"Identified functional in wrong model ≠ 0"
"2",8,FALSE,TRUE,FALSE,1,0,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"N",0,500,0.047,NA,0.00946477680666586,1,2,"Identified functional in wrong model ≠ 0"
"3",8,FALSE,TRUE,FALSE,1,0,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"N",0,750,0.053,NA,0.00818054602904558,1,2,"Identified functional in wrong model ≠ 0"
"4",8,FALSE,TRUE,FALSE,1,0,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"N",0,1000,0.052,NA,0.00702111102319284,1,2,"Identified functional in wrong model ≠ 0"
"5",4,FALSE,TRUE,TRUE,1,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA,0,2,1,"Identified functional in wrong model ≠ 0"
"6",4,FALSE,TRUE,TRUE,1,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA,0,2,1,"Identified functional in wrong model ≠ 0"
"7",4,FALSE,TRUE,TRUE,1,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA,0,2,1,"Identified functional in wrong model ≠ 0"
"8",4,FALSE,TRUE,TRUE,1,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA,0,2,1,"Identified functional in wrong model ≠ 0"
"9",8,FALSE,FALSE,TRUE,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0.019,NA,0.00863458163433527,1,2,"Identified functional in wrong model ≠ 0"
"10",8,FALSE,FALSE,TRUE,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0.028,NA,0.00737780455149091,1,2,"Identified functional in wrong model ≠ 0"
"11",8,FALSE,FALSE,TRUE,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0.036,NA,0.00680235253423402,1,2,"Identified functional in wrong model ≠ 0"
"12",8,FALSE,FALSE,TRUE,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0.039,NA,0.00612200947402076,1,2,"Identified functional in wrong model ≠ 0"
"13",24,TRUE,FALSE,FALSE,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"N",0,250,0.03,NA,0.0107888831674089,1,2,"Identified functional in wrong model ≠ 0"
"14",24,TRUE,FALSE,FALSE,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"N",0,500,0.051,NA,0.00983859746102055,1,2,"Identified functional in wrong model ≠ 0"
"15",24,TRUE,FALSE,FALSE,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"N",0,750,0.049,NA,0.00788238542574518,1,2,"Identified functional in wrong model ≠ 0"
"16",24,TRUE,FALSE,FALSE,0,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"N",0,1000,0.049,NA,0.00682634602111554,1,2,"Identified functional in wrong model ≠ 0"
"17",2,TRUE,FALSE,TRUE,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA,0,2,1,"Identified functional in wrong model ≠ 0"
"18",2,TRUE,FALSE,TRUE,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA,0,2,1,"Identified functional in wrong model ≠ 0"
"19",2,TRUE,FALSE,TRUE,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA,0,2,1,"Identified functional in wrong model ≠ 0"
"20",2,TRUE,FALSE,TRUE,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA,0,2,1,"Identified functional in wrong model ≠ 0"
"21",25,TRUE,TRUE,FALSE,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"N",0,250,0.002,NA,0.0028255972819919,2,1,"Identified functional in wrong model ≠ 0"
"22",25,TRUE,TRUE,FALSE,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"N",0,500,0,NA,0,2,1,"Identified functional in wrong model ≠ 0"
"23",25,TRUE,TRUE,FALSE,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"N",0,750,0.001,NA,0.00115412304370028,2,1,"Identified functional in wrong model ≠ 0"
"24",25,TRUE,TRUE,FALSE,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"N",0,1000,0,NA,0,2,1,"Identified functional in wrong model ≠ 0"
"25",2,FALSE,FALSE,TRUE,0,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0.001,NA,0.00199899974987492,1,1,"Identified functional in wrong model = 0"
"26",2,FALSE,FALSE,TRUE,0,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA,0,1,1,"Identified functional in wrong model = 0"
"27",2,FALSE,FALSE,TRUE,0,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA,0,1,1,"Identified functional in wrong model = 0"
"28",2,FALSE,FALSE,TRUE,0,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA,0,1,1,"Identified functional in wrong model = 0"
"29",3,FALSE,TRUE,FALSE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,250,0,NA,0,1,0,"Identified functional in wrong model = 0"
"30",3,FALSE,TRUE,FALSE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,500,0,NA,0,1,0,"Identified functional in wrong model = 0"
"31",3,FALSE,TRUE,FALSE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,750,0,NA,0,1,0,"Identified functional in wrong model = 0"
"32",3,FALSE,TRUE,FALSE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,1000,0,NA,0,1,0,"Identified functional in wrong model = 0"
"33",4,FALSE,TRUE,TRUE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA,0,2,0,"Identified functional in wrong model = 0"
"34",4,FALSE,TRUE,TRUE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA,0,2,0,"Identified functional in wrong model = 0"
"35",4,FALSE,TRUE,TRUE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA,0,2,0,"Identified functional in wrong model = 0"
"36",4,FALSE,TRUE,TRUE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA,0,2,0,"Identified functional in wrong model = 0"
"37",5,TRUE,FALSE,TRUE,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA,0,2,0,"Identified functional in wrong model = 0"
"38",5,TRUE,FALSE,TRUE,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA,0,2,0,"Identified functional in wrong model = 0"
"39",5,TRUE,FALSE,TRUE,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA,0,2,0,"Identified functional in wrong model = 0"
"40",5,TRUE,FALSE,TRUE,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA,0,2,0,"Identified functional in wrong model = 0"
"41",6,TRUE,FALSE,FALSE,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"N",0,250,0,NA,0,1,1,"Identified functional in wrong model = 0"
"42",6,TRUE,FALSE,FALSE,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"N",0,500,0,NA,0,1,1,"Identified functional in wrong model = 0"
"43",6,TRUE,FALSE,FALSE,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"N",0,750,0,NA,0,1,1,"Identified functional in wrong model = 0"
"44",6,TRUE,FALSE,FALSE,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"N",0,1000,0,NA,0,1,1,"Identified functional in wrong model = 0"
"45",7,TRUE,TRUE,FALSE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,250,0,NA,0,2,0,"Identified functional in wrong model = 0"
"46",7,TRUE,TRUE,FALSE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,500,0,NA,0,2,0,"Identified functional in wrong model = 0"
"47",7,TRUE,TRUE,FALSE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,750,0,NA,0,2,0,"Identified functional in wrong model = 0"
"48",7,TRUE,TRUE,FALSE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,1000,0,NA,0,2,0,"Identified functional in wrong model = 0"
"49",1,TRUE,TRUE,TRUE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA,0,3,0,"Identified functional in wrong model = 0"
"50",1,TRUE,TRUE,TRUE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA,0,3,0,"Identified functional in wrong model = 0"
"51",1,TRUE,TRUE,TRUE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA,0,3,0,"Identified functional in wrong model = 0"
"52",1,TRUE,TRUE,TRUE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA,0,3,0,"Identified functional in wrong model = 0"
